,name,country,eu_group,national_group,twitter,facebook,instagram,linkedin,email,Website,website,e-mail
124850,Emil Radev,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria,emil_radev,,,,emil.radev@europarl.europa.eu,http://emilradev.eu/,,
188945,Dennis Radtke,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,RadtkeMdEP,DennisRadtkeMdEP,dennisradtkemdep,,dennis.radtke@europarl.europa.eu,http://www.dennis-radtke.eu,,
197868,Samira Rafaela,Netherlands,Renew Europe Group,Democraten 66,,SamiraRafaelaD66,samrafaela,,samira.rafaela@europarl.europa.eu,https://www.samirarafaela.eu/,,
197544,Elżbieta Rafalska,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,,,,
96903,Paulo Rangel,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata,,,,,,,,
197790,Luisa Regimenti,Italy,Identity and Democracy Group,Lega,,,,,luisa.regimenti@europarl.europa.eu,,,
96998,Evelyn Regner,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs,Evelyn_Regner,evelyn.regner,mep_evelyn_regner,,evelyn.regner@europarl.europa.eu,,,
197681,Sira Rego,Spain,The Left group in the European Parliament - GUE/NGL,Izquierda Unida,@SIRAREGO,SIRAREGOIU,,,sira.rego@europarl.europa.eu,,,
197488,Guido Reil,Germany,Identity and Democracy Group,Alternative für Deutschland,,guidoreil.de,,,guido.reil@europarl.europa.eu,,,
103381,Terry Reintke,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,,,,
197413,Karlo Ressler,Croatia,Group of the European People's Party (Christian Democrats),Hrvatska demokratska zajednica,KarloRessler,resslerkarlo,karloressler,,karlo.ressler@europarl.europa.eu,https://www.karloressler.eu/,,
218347,Thijs Reuten,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partij van de Arbeid,thijsreuten,ThijsReutenMEP,thijsreuten,,thijs.reuten@europarl.europa.eu,https://europa.pvda.nl,,
197832,Diana Riba I Giner,Spain,Group of the Greens/European Free Alliance,Esquerra Republicana de Catalunya,,,,,,,,
4253,Frédérique Ries,Belgium,Renew Europe Group,Mouvement Réformateur,,,,,,,,
197787,Antonio Maria Rinaldi,Italy,Identity and Democracy Group,Lega,Rinaldi_euro,rinaldiofficial,,,antonio.rinaldi@europarl.europa.eu,,,
206158,Manuela Ripa,Germany,Group of the Greens/European Free Alliance,Ökologisch-Demokratische Partei,,,,,,,,
96885,Dominique Riquet,France,Renew Europe Group,Mouvement Radical Social-Libéral,DominiqueRiquet,d.riquet,dominiqueriquet,,dominique.riquet@europarl.europa.eu,http://driquet.com/,,
96743,Michèle Rivasi,France,Group of the Greens/European Free Alliance,Europe Écologie,,,,,,,,
197615,Jérôme Rivière,France,Identity and Democracy Group,Rassemblement national,jerome_riviere,,,,jerome.riviere@europarl.europa.eu,,,
197801,Franco Roberti,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,francorobertieu,,francorobertieu,,franco.roberti@europarl.europa.eu,,,
125043,Inma Rodríguez-Piñero,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,RodriguezPinero,inmaculadarodriguezpinero,,,inma.rodriguezpinero@europarl.europa.eu,,,
197785,Eugenia Rodríguez Palop,Spain,The Left group in the European Parliament - GUE/NGL,PODEMOS,,,,,eugenia.rodriguezpalop@europarl.europa.eu,,,
4344,María Soraya Rodríguez Ramos,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía,sorayarr_,,,,soraya.rodriguezramos@europarl.europa.eu,,,
197584,Sándor Rónai,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Demokratikus Koalíció,,,,,,,,
197792,Daniela Rondinelli,Italy,Non-attached Members,Movimento 5 Stelle,dani_rondinelli,DanielaRondinelliM5S,deskgram.netdanielarondinelli_m5s,,daniela.rondinelli@europarl.europa.eu,,,
197776,Rob Rooken,Netherlands,European Conservatives and Reformists Group,JA21,rooken,,,,rob.rooken@europarl.europa.eu,,,
204733,Dorien Rookmaker,Netherlands,Non-attached Members,Independent,rookmakerdorien?,,,,dorien.rookmaker@europarl.europa.eu,https://www.go2021.nl/,,
197709,Robert Roos,Netherlands,European Conservatives and Reformists Group,JA21,rob_roos,,,,rob.roos@europarl.europa.eu,,,
197506,Caroline Roose,France,Group of the Greens/European Free Alliance,Europe Écologie,CarolineRooseEU,CarolineRooseEU,CarolineRooseEU,,caroline.roose@europarl.europa.eu,https://carolineroose.eu/,,
125214,Bronis Ropė,Lithuania,Group of the Greens/European Free Alliance,Lietuvos valstiečių ir žaliųjų sąjunga,,rope.bronis,,,bronis.rope@europarl.europa.eu,http://www.rope.lt/,,
204413,Marcos Ros Sempere,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,mrossemp?lang=it,,mrossemp,,marcos.ros@europarl.europa.eu,,,
197690,André Rougé,France,Identity and Democracy Group,Rassemblement national,,,,,andre.rouge@europarl.europa.eu,,,
197773,Bert-Jan Ruissen,Netherlands,European Conservatives and Reformists Group,Staatkundig Gereformeerde Partij,hjaruissen,bertjanruissen,hjaruissen?hl=nl,,bert-jan.ruissen@europarl.europa.eu,http://www.bertjanruissen.nl,,
127096,Domènec Ruiz Devesa,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
197545,Bogdan Rzońca,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,,,,
204368,Christian Sagartz,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei,,sagartzchristian,,,christian.sagartz@europarl.europa.eu,https://www.christiansagartz.at/,,
125670,Massimiliano Salini,Italy,Group of the European People's Party (Christian Democrats),Forza Italia,,,,,,,,
197722,Nacho Sánchez Amor,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,NachoSAmor,,,,nacho.sanchezamor@europarl.europa.eu,,,
24594,Anne Sander,France,Group of the European People's Party (Christian Democrats),Les Républicains,,,,,,,,
124781,Alfred Sant,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,SantAlfred,alfredsantpage,,,alfred.sant@europarl.europa.eu,,,
197650,Isabel Santos,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,,,,,icsantos@parlameto.ps]tod[pt:otliam.eu,,,
197578,Silvia Sardone,Italy,Identity and Democracy Group,Lega,SardoneSilvia,silviasardone,silviasardone,,silvia.sardone@europarl.europa.eu,http://www.silviasardone.it,,
112611,Petri Sarvamaa,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,petrisarvamaa,sarvamaa.petri,sarvamaa,,petri.sarvamaa@europarl.europa.eu,https://www.petrisarvamaa.eu/,,
28297,Jacek Saryusz-Wolski,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,jacek.saryusz-wolski@europarl.europa.eu,,,
96864,David Maria Sassoli,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,,,,,david.sassoli@europarl.europa.eu,,,
197500,Mounir Satouri,France,Group of the Greens/European Free Alliance,Europe Écologie,mounirsatouri,mounir.satouri,,,mounir.satouri@europarl.europa.eu,,,
37312,Christel Schaldemose,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,SchaldemoseMEP,ChristelSchaldemose,,,christel.schaldemose@europarl.europa.eu,http://www.christels.dk,,
213330,Ernő Schaller-Baross,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,,,,,erno.schaller-baross@europarl.europa.eu,,,
197670,Andreas Schieder,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs,,,,,,,,
190517,Martin Schirdewan,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.,,,,,martin.schirdewan@europarl.europa.eu,,,
197656,Simone Schmiedtbauer,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei,,SchmiedtbauerSimone,simone.schmiedtbauer,,simone.schmiedtbauer@europarl.europa.eu,http://www.simone-schmiedtbauer.at,,
197422,Christine Schneider,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,chschneider,christine.schneider.mdep,christineschneider_mdep,,christine.schneider@europarl.europa.eu,,,
96646,Helmut Scholz,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.,,,,,,,,
125030,Annie Schreijer-Pierik,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl,,,,,,,,
197869,Liesje Schreinemacher,Netherlands,Renew Europe Group,Volkspartij voor Vrijheid en Democratie,,,,,,,,
124809,Sven Schulze,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,,,,,,,,
124837,Joachim Schuster,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,,,,joachim.schuster@europarl.europa.eu,,,
28223,Andreas Schwab,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,Andreas_Schwab,aschwab.mdep,andreasschwab_mdep?igshid=1qkxgol6ax7b6,,andreas.schwab@europarl.europa.eu,https://www.andreas-schwab.de,,
197425,Ralf Seekatz,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,,ralf.seekatz,,,ralf.seekatz@europarl.europa.eu,http://www.ralf-seekatz.eu/,,
197508,Stéphane Séjourné,France,Renew Europe Group,La République en marche,steph_sejourne,StephSejourne,,stéphane-séjourné-b3190848,stephane.sejourne@europarl.europa.eu,,,
197418,Monica Semedo,Luxembourg,Renew Europe Group,Indépendent,MonicaSemedoLux,monica.semedo.3,monica_semedo_lux,,monica.semedo@europarl.europa.eu,,,
197423,Nico Semsrott,Germany,Group of the Greens/European Free Alliance,Independent,nicosemsrott,nicosemsrott,nicosemsrott?hl=de,,nico.semsrott@europarl.europa.eu,https://nicosemsrott.eu/,,
197677,Günther Sidl,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs,,sidl.guenther,guenther_sidl,,guenther.sidl@europarl.europa.eu,https://sidl.at/,,
197548,Radosław Sikorski,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,sikorskiradek,radeksikorski,radek_sikorski,,radoslaw.sikorski@europarl.europa.eu,http://www.radeksikorski.eu,,
124747,Pedro Silva Pereira,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,,,,,pedro.silvapereira@europarl.europa.eu,,,
103746,Michal Šimečka,Slovakia,Renew Europe Group,Progresívne Slovensko,MSimecka,miso.simecka,michalsimecka,,michal.simecka@europarl.europa.eu,,,
197426,Sven Simon,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,svensimon,simonMEP,simonmep,de.sven-simon-0517755b,sven.simon@europarl.europa.eu,http://www.sven-simon.eu,,
197935,Ivan Vilibor Sinčić,Croatia,Non-attached Members,Živi Zid,,ivsincic,,,ivanvilibor.sincic@europarl.europa.eu,,,
96932,Birgit Sippel,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,BirgitSippelMEP,BirgitSippel,birgit_sippel,,birgit.sippel@europarl.europa.eu,http://www.birgitsippel.de,,
197390,Sara Skyttedal,Sweden,Group of the European People's Party (Christian Democrats),Kristdemokraterna,skyttedal,skyttedal,skyttedal,,sara.skyttedal@europarl.europa.eu,,,
197849,Andrey Slabakov,Bulgaria,European Conservatives and Reformists Group,VMRO,,,,,andrey.slabakov@europarl.europa.eu,,,
197791,Massimiliano Smeriglio,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,,,,,,,,
204334,Vincenzo Sofo,Italy,European Conservatives and Reformists Group,Lega,,,,,vincenzo.sofo@europarl.europa.eu,,,
124710,Michaela Šojdrová,Czechia,Group of the European People's Party (Christian Democrats),Křesťanská a demokratická unie - Československá strana lidová,,,,,,,,
197417,Tomislav Sokol,Croatia,Group of the European People's Party (Christian Democrats),Hrvatska demokratska zajednica,,,,,,,,
185974,Jordi Solé,Spain,Group of the Greens/European Free Alliance,Esquerra Republicana de Catalunya,jordisolef,,jordisolef,,jordi.sole@europarl.europa.eu,http://www.jordi-sole.cat,,
197784,Susana Solís Pérez,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía,,,,,,,,
124834,Martin Sonneborn,Germany,Non-attached Members,Die PARTEI,MartinSonneborn,Martin-Sonneborn-178442508884215,,,martin.sonneborn@europarl.europa.eu,,,
197550,Sylwia Spurek,Poland,Group of the Greens/European Free Alliance,Independent,,,,,,,,
125064,Maria Spyraki,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia,,,,,,,,
197825,Raffaele Stancanelli,Italy,European Conservatives and Reformists Group,Fratelli d'Italia,,,,,raffaele.stancanelli@europarl.europa.eu,,,
124852,Sergei Stanishev,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgarian Socialist Party,SergeiStanishev,Stanishev.Sergei ,,,sergei.stanishev@europarl.europa.eu,,,
124929,Ivan Štefanec,Slovakia,Group of the European People's Party (Christian Democrats),Kresťanskodemokratické hnutie,IvanStefanec,ivan.stefanec.1,stefanec_ivan,,ivan.stefanec@europarl.europa.eu,http://www.ivanstefanec.sk/,,
58766,Nicolae Ştefănuță,Romania,Renew Europe Group,Uniunea Salvați România,,,,,,,,
197399,Jessica Stegrud,Sweden,European Conservatives and Reformists Group,Sverigedemokraterna,,,,,jessica.stegrud@europarl.europa.eu,,,
197772,Tineke Strik,Netherlands,Group of the Greens/European Free Alliance,GroenLinks,,,,,,,,
134605,Ramona Strugariu,Romania,Renew Europe Group,"Partidul Libertate, Unitate și Solidaritate",RamonaStrugariu,RamonaVictoriaStrugariu,ramona_strugariu?hl=en,,ramona.strugariu@europarl.europa.eu,https://ramonastrugariu.eu/,,
197553,Beata Szydło,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,BeataSzydlo,m.BeataSzydlo,szydlo.beata,,beata.szydlo@europarl.europa.eu,,,
204331,Linea Søgaard-Lidell,Denmark,Renew Europe Group,"Venstre, Danmarks Liberale Parti",linealidell,lineasogaardlidell,linealidell,,linea.sogaard-lidell@europarl.europa.eu,,,
2187,Antonio Tajani,Italy,Group of the European People's Party (Christian Democrats),Forza Italia,Antonio_Tajani,antonio.tajani,antoniotajanieu,it.antonio-tajani-3a6a49179,antonio.tajani@europarl.europa.eu,http://www.antoniotajani.it/,,
125020,Paul Tang,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partij van de Arbeid,paultang,PaulTangPvdA,,,paul.tang@europarl.europa.eu,https://paultang.nl/,,
29579,Marc Tarabella,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti Socialiste,marctarabella,marc.tarabella,,,marc.tarabella@europarl.europa.eu,http://www.tarabella.eu,,
204346,Dominik Tarczyński,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,d_tarczynski,,,,dominik.tarczynski@europarl.europa.eu,,,
197806,Annalisa Tardino,Italy,Identity and Democracy Group,Lega,,,,,,,,
197756,Vera Tax,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partij van de Arbeid,Vera_Tax?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Vera-Tax-104024417686758,veratax,nl.vera-tax-04840a86,vera.tax@europarl.europa.eu,,,
197655,Cristian Terheş,Romania,European Conservatives and Reformists Group,Partidul Național Țărănesc Creștin Democrat,,,,,cristian.terhes@europarl.europa.eu,,,
204449,Riho Terras,Estonia,Group of the European People's Party (Christian Democrats),Isamaa,,terraseuroopa,,,riho.terras@europarl.europa.eu,,,
197831,Hermann Tertsch,Spain,European Conservatives and Reformists Group,VOX,hermanntertsch,,,,hermann.tertsch@europarl.europa.eu,,,
197667,Barbara Thaler,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei,thalerbarbara,BarbaraMThaler,thalerbarbara,,barbara.thaler@europarl.europa.eu,https://www.barbara-thaler.at/de/,,
96776,Róża Thun Und Hohenstein,Poland,Group of the European People's Party (Christian Democrats),Independent,,,,,,,,
197591,Irene Tinagli,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,itinagli,Irene-Tinagli-142983109068196,,,irene.tinagli@europarl.europa.eu,https://www.irenetinagli.it,,
197402,Tomas Tobé,Sweden,Group of the European People's Party (Christian Democrats),Moderaterna,tomastobe,TomasGTobe,tomastobe,,tomas.tobe@europarl.europa.eu,,,
197559,Grzegorz Tobiszowski,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,grzegorz.tobiszowski@europarl.europa.eu,,,
28340,Patrizia Toia,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,toiapatrizia,ToiaPatrizia,patriziatoia,,patrizia.toia@europarl.europa.eu,,,
197547,Irène Tolleret,France,Renew Europe Group,Liste Renaissance,,,,,irene.tolleret@europarl.europa.eu,,,
197672,Eugen Tomac,Romania,Group of the European People's Party (Christian Democrats),Partidul Mișcarea Populară,,tomaceugen,tomaceugen,,eugen.tomac@europarl.europa.eu,,,
96697,Valdemar Tomaševski,Lithuania,European Conservatives and Reformists Group,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,,VTomasevski,,,valdemar.tomasevski@europarl.europa.eu,http://www.vtomasevski.lt,,
119431,Ruža Tomašić,Croatia,European Conservatives and Reformists Group,Hrvatska konzervativna stranka,,,,,,,,
125104,Romana Tomc,Slovenia,Group of the European People's Party (Christian Democrats),Slovenska demokratska stranka,,,,,,,,
124700,Yana Toom,Estonia,Renew Europe Group,Eesti Keskerakond,yanatoom,yana.toom,,,yana.toom@europarl.europa.eu,http://yanatoom.ee/,,
114268,Nils Torvalds,Finland,Renew Europe Group,Svenska folkpartiet,,,,,,,,
96713,Evžen Tošenovský,Czechia,European Conservatives and Reformists Group,Občanská demokratická strana,,,,,evzen.tosenovsky@europarl.europa.eu,http://www.tosenovsky.cz,,
27714,Edina Tóth,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,toth_edina,TothEdinaEP,toth_edina_ep,,edina.toth@europarl.europa.eu,,,
97236,Marie Toussaint,France,Group of the Greens/European Free Alliance,Europe Écologie,,,,,,,,
197580,Isabella Tovaglieri,Italy,Identity and Democracy Group,Lega,,IsabellaTovaglieriLega,,,isabella.tovaglieri@europarl.europa.eu,,,
197593,Véronique Trillet-Lenoir,France,Renew Europe Group,Liste Renaissance,,,,,veronique.trillet-lenoir@europarl.europa.eu,,,
197894,László Trócsányi,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,trocsanyi,TrocsanyiLaszlo,,,laszlo.trocsanyi@europarl.europa.eu,,,
197665,Dragoş Tudorache,Romania,Renew Europe Group,"Partidul Libertate, Unitate și Solidaritate",,,,,ioan-dragos.tudorache@europarl.europa.eu,,,
198183,Mihai Tudose,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,,,,,mihai.tudose@europarl.europa.eu,,,
197763,Milan Uhrík,Slovakia,Non-attached Members,Hnutie Republika,,,,,milan.uhrik@europarl.europa.eu,,,
124705,István Ujhelyi,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Magyar Szocialista Párt,,,,,,,,
131507,Miguel Urbán Crespo,Spain,The Left group in the European Parliament - GUE/NGL,ANTICAPITALISTAS,,,,,,,,
124972,Ernest Urtasun,Spain,Group of the Greens/European Free Alliance,Catalunya en Comú,ernesturtasun,eurtasun,e_urtasun,,ernest.urtasun@europarl.europa.eu,,,
197810,Nils Ušakovs,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,"""Saskaņa"" sociāldemokrātiskā partija",,,,,nils.usakovs@europarl.europa.eu,,,
96698,Viktor Uspaskich,Lithuania,Non-attached Members,Darbo partija,ViktorUspaskich,peopleViktor-Uspaskich100004808381839,,,viktor.uspaskich@europarl.europa.eu,https://www.uspaskich.eu/,,
28617,Inese Vaidere,Latvia,Group of the European People's Party (Christian Democrats),"Partija ""VIENOTĪBA""",inesevaidere,inese.vaidere.9?ref=tn_tnmn,inese_vaidere,,inese.vaidere@europarl.europa.eu,http://www.inese-vaidere.lv/,,
124934,Monika Vana,Austria,Group of the Greens/European Free Alliance,Die Grünen - Die Grüne Alternative,,,,,monika.vana@europarl.europa.eu,,,
5729,Kathleen Van Brempt,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialistische Partij.Anders,,,,,,,,
185771,Tom Vandendriessche,Belgium,Identity and Democracy Group,Vlaams Belang,,,,,tom.vandendriessche@europarl.europa.eu,,,
129164,Tom Vandenkendelaere,Belgium,Group of the European People's Party (Christian Democrats),Christen-Democratisch & Vlaams,tomvdkendelaere,tomvdkendelaere,tomvdkendelaere,,tom.vandenkendelaere@europarl.europa.eu,http://www.eutom.eu/,,
125106,Johan Van Overtveldt,Belgium,European Conservatives and Reformists Group,Nieuw-Vlaamse Alliantie,,,,,johan.vanovertveldt@europarl.europa.eu,,,
197870,Kim Van Sparrentak,Netherlands,Group of the Greens/European Free Alliance,GroenLinks,,,,,,,,
130100,Hilde Vautmans,Belgium,Renew Europe Group,Open Vlaamse Liberalen en Democraten,,,,,,,,
197502,Marie-Pierre Vedrenne,France,Renew Europe Group,Mouvement Démocrate,,,,,,,,
96756,Sabine Verheyen,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,sabineverheyen,mdep.ac,sabineverheyen,,sabine.verheyen@europarl.europa.eu,http://www.sabine-verheyen.de/,,
97058,Guy Verhofstadt,Belgium,Renew Europe Group,Open Vlaamse Liberalen en Democraten,,,,,,,,
125001,Harald Vilimsky,Austria,Identity and Democracy Group,Freiheitliche Partei Österreichs,,,,,harald.vilimsky@europarl.europa.eu,,,
197827,Idoia Villanueva Ruiz,Spain,The Left group in the European Parliament - GUE/NGL,PODEMOS,,,,,,,,
197571,Nikolaj Villumsen,Denmark,The Left group in the European Parliament - GUE/NGL,Enhedslisten,,,,,,,,
98582,Loránt Vincze,Romania,Group of the European People's Party (Christian Democrats),Uniunea Democrată Maghiară din România,vinczelorant,vincze.lorant.2019,lorantvinczeinsta,,lorant.vincze@europarl.europa.eu,https://vinczelorant.eu/hu/,,
199941,Marianne Vind,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,,,,,,,,
124726,Henna Virkkunen,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,,,,,,,,
197844,Petar Vitanov,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgarian Socialist Party,,peter.vitanov,,,petar.vitanov@europarl.europa.eu,,,
197678,Bettina Vollath,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs,,bettinavollath,bettina_vollath,,bettina.vollath@europarl.europa.eu,,,
197451,Viola Von Cramon-Taubadel,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,violavoncramon?lang=en,viola.voncramon,,,viola.voncramon@europarl.europa.eu,https://violavoncramon.eu/,,
197537,Alexandr Vondra,Czechia,European Conservatives and Reformists Group,Občanská demokratická strana,alexandrvondra?lang=en,a.vondra,,,alexandr.vondra@europarl.europa.eu,,,
96761,Axel Voss,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,AxelVossMdEP,AxelVossMdEP,axel.voss.mdep,de.axel-voss-a1744969,axel.voss@europarl.europa.eu,http://www.axel-voss-europa.de/,,
125065,Elissavet Vozemberg-Vrionidi,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia,vozemberg,vozemberg,vozemberg,,elissavet.vozemberg@europarl.europa.eu,http://www.vozemberg.gr/,,
197552,Veronika Vrecionová,Czechia,European Conservatives and Reformists Group,Občanská demokratická strana,vrecionova?lang=en,vrecionova,,,veronika.vrecionova@europarl.europa.eu,,,
197798,Lucia Vuolo,Italy,Identity and Democracy Group,Lega,luciavuoloeu,lucia.vuolo.europa,,,lucia.vuolo@europarl.europa.eu,https://www.luciavuolo.eu/,,
204400,Adrián Vázquez Lázara,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía,adrianvl1982,,adrianvazquezlazara,,adrian.vazquezlazara@europarl.europa.eu,,,
190464,Thomas Waitz,Austria,Group of the Greens/European Free Alliance,Die Grünen - Die Grüne Alternative,,,,,thomas.waitz@europarl.europa.eu,http://www.tomwaitz.eu,,
197817,Mick Wallace,Ireland,The Left group in the European Parliament - GUE/NGL,Independents for change,wallacemick,,,,mick.wallace@europarl.europa.eu,,,
197863,Maria Walsh,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party,,,,,,,,
197429,Marion Walsmann,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,marionwalsmann,team.walsmann,marion_walsmann,de.marion-walsmann-a77173b8,marionerika.walsmann@europarl.europa.eu,http://www.marion-walsmann.de,,
197405,Jörgen Warborn,Sweden,Group of the European People's Party (Christian Democrats),Moderaterna,jorgenwarborn,jorgenwarborn,jorgenwarborn,,jorgen.warborn@europarl.europa.eu,https://warborn.eu,,
197566,Witold Jan Waszczykowski,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,WaszczykowskiW,WitoldWaszczykowski,,,witoldjan.waszczykowski@europarl.europa.eu,,,
28229,Manfred Weber,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.,,,,,,,,
123562,Charlie Weimers,Sweden,European Conservatives and Reformists Group,Sverigedemokraterna,weimers,charlie.weimers,weimers,,charlie.weimers@europarl.europa.eu,,,
197515,Pernille Weiss,Denmark,Group of the European People's Party (Christian Democrats),Det Konservative Folkeparti,WeissPernille,pernilleweiss,pernillewiisweiss,dk.pernille-weiss?trk=public_profile_samename_mini-profile_title,pernille.weiss@europarl.europa.eu,https://pernilleweiss.dk/,,
2323,Rainer Wieland,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,,wieland.mdep,rainerwielandmdep,,rainer.wieland@europarl.europa.eu,http://www.mdep.de/,,
197675,Sarah Wiener,Austria,Group of the Greens/European Free Alliance,Die Grünen - Die Grüne Alternative,,sarahwienerofficial,,,sarah.wiener@europarl.europa.eu,,,
214839,Emma Wiesner,Sweden,Renew Europe Group,Centerpartiet,emmawiesner,EmmaWiesnerEU,emmawiesner,se.emma-wiesner-b9132048,emma.wiesner@europarl.europa.eu,,,
197769,Michal Wiezik,Slovakia,Group of the European People's Party (Christian Democrats),SPOLU – občianska demokracia,,michalwiezikspolu,michalwiezik_spolu,,michal.wiezik@europarl.europa.eu,,,
39725,Iuliu Winkler,Romania,Group of the European People's Party (Christian Democrats),Uniunea Democrată Maghiară din România,iuliuwinkler,winkler.gyula,,,iuliu.winkler@europarl.europa.eu,https://winklergyula.ro/,,
197652,Angelika Winzig,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei,angelikawinzig,angelika.winzig,angelika.winzig,,angelika.winzig@europarl.europa.eu,https://www.angelika-winzig.at/,,
197421,Isabel Wiseler-Lima,Luxembourg,Group of the European People's Party (Christian Democrats),Parti chrétien social luxembourgeois,,,,,,,,
